USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver      367  13,6  0,8 413316000  69776   ??  Ss   18ноя25 981:26.73 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
bhuikund         82872   3,6  1,2 417352160 103952   ??  R     6:39     4:30.92 /Applications/Telegram.app/Contents/MacOS/Telegram
bhuikund         85151   0,0  0,1 410330112  11312   ??  Ss   10:19     0:00.59 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
root             85148   0,0  0,1 410326016   8288   ??  Ss   10:18     0:00.07 /usr/libexec/powerdatad
bhuikund         85119   0,0  0,2 410370144  14624   ??  S    10:15     0:03.20 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
root             85087   0,0  0,0 410163344   1632   ??  Ss   10:13     0:00.02 /usr/libexec/smd
root             85011   0,0  0,0 410162912   2112   ??  Ss   10:10     0:01.01 /usr/libexec/sysmond
bhuikund         84994   0,0  0,1 410363824   8256   ??  S    10:09     0:01.54 /usr/libexec/swcd
bhuikund         84993   0,0  0,2 414822720  15312   ??  S    10:09     0:03.64 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
bhuikund         84991   0,0  0,1 410331008  12416   ??  S    10:09     0:00.60 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
bhuikund         84985   0,0  0,7 1689335072  59728   ??  S    10:09     0:00.37 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/25.10.0.2546/Helpers/Yandex Helper (Renderer).app/Contents/MacOS/Yandex Helper (Renderer) --type=renderer --user-id=5B39B275-9C8D-4CF7-BCF6-298D5D4D1824 --brand-id=yandex --partner-id=switch-browser --metrics-client-id=327d366d-d946-4537-a206-b5e65bf0214e --help-url=https://api.browser.yandex.ru/redirect/help/ --user-agent-info --web-ntp-url-for-renderer=https://brontp-pre.yandex.ru/ --translate-security-origin=https://browser.translate.yandex.net/ --enable-instaserp --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=3216 --time-ticks-at-unix-epoch=-1767518326405433 --launch-time-ticks=421195483378 --shared-files --metrics-shmem-handle=1752395122,r,15087437764139130275,10277931211837181247,2097152 --field-trial-handle=1718379636,r,6704954386716255215,9356205603268949161,262144 --disable-features=WebGalleryRotation --variations-seed-version --seatbelt-client=229
bhuikund         84954   0,0  0,1 410372736  11040   ??  Ss   10:07     0:00.14 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
root             84946   0,0  0,0 410614192   4032   ??  Ss   10:07     0:00.03 /usr/libexec/online-auth-agent
bhuikund         84940   0,0  0,2 410357616  13840   ??  S    10:07     0:00.92 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
bhuikund         84939   0,0  0,2 410337360  13408   ??  S    10:07     0:00.60 /usr/libexec/proactived
bhuikund         84932   0,0  0,1 410364352  11216   ??  S    10:07     0:01.72 /usr/libexec/triald
_fpsd            84925   0,0  0,0 410160432   3408   ??  Ss   10:07     0:00.20 /System/Library/PrivateFrameworks/CoreADI.framework/adid
root             84917   0,0  0,2 410380560  13376   ??  Ss   10:07     0:00.79 /usr/libexec/coreduetd
bhuikund         84915   0,0  0,1 410372224  11296   ??  S    10:07     0:00.09 /usr/libexec/neagent
root             84912   0,0  0,1 410327936   7552   ??  Ss   10:07     0:00.29 /usr/libexec/rtcreportingd
root             84901   0,0  0,1 410233840   4624   ??  Ss   10:07     0:00.06 /usr/libexec/sandboxd
_locationd       84885   0,0  0,2 410369504  14112   ??  S    10:07     0:00.47 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
bhuikund         84884   0,0  0,2 410371968  20272   ??  S    10:07     0:02.05 /usr/libexec/knowledge-agent
bhuikund         84880   0,0  0,1 410378480  12304   ??  S    10:07     0:00.60 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
bhuikund         84878   0,0  0,4 410665552  31344   ??  Ss   10:07     0:02.76 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
bhuikund         84877   0,0  0,6 410472736  46688   ??  Ss   10:07     0:00.87 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension
bhuikund         84876   0,0  0,5 410657232  46032   ??  Ss   10:07     0:02.31 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
bhuikund         84875   0,0  0,2 410414800  16320   ??  Ss   10:07     0:00.34 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
bhuikund         84874   0,0  0,2 410451744  19920   ??  Ss   10:07     0:00.99 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
bhuikund         84869   0,0  0,3 412019120  29328   ??  S    10:07     0:03.60 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
bhuikund         84864   0,0  0,1 410359632  11024   ??  S    10:07     0:00.15 /usr/libexec/intelligentroutingd
bhuikund         84843   0,0  0,1 410326560  10880   ??  S    10:06     0:00.10 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
bhuikund         84716   0,0  0,1 410364832   5632   ??  S     9:42     0:00.19 /usr/libexec/secinitd
bhuikund         84706   0,0  0,1 410373632  10032   ??  S     9:42     0:01.96 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
_biome           84662   0,0  0,1 410345312   9536   ??  Ss    9:37     0:00.62 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
bhuikund         84619   0,0  0,0 499981920   2928   ??  Ss    9:36     0:03.13 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
bhuikund         84537   0,0  0,0 499934624   3104   ??  Ss    9:33     0:06.96 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
bhuikund         84367   0,0  0,7 1865478624  60640   ??  S     9:17     0:02.39 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.117/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=224 --time-ticks-at-unix-epoch=-1771746579597116 --launch-time-ticks=418070021737 --shared-files --metrics-shmem-handle=1752395122,r,4591859362752652382,17987280542537977190,2097152 --field-trial-handle=1718379636,r,5799861745977105066,431013067418218464,262144 --variations-seed-version=20260224-170100.149000-production --trace-process-track-uuid=3190709196209245670 --seatbelt-client=221
bhuikund         84366   0,0  0,7 1865486688  61056   ??  S     9:17     0:02.40 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.117/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=223 --time-ticks-at-unix-epoch=-1771746579597116 --launch-time-ticks=418070015110 --shared-files --metrics-shmem-handle=1752395122,r,993887385364147362,3895677800931535614,2097152 --field-trial-handle=1718379636,r,5799861745977105066,431013067418218464,262144 --variations-seed-version=20260224-170100.149000-production --trace-process-track-uuid=3190709195272203821 --seatbelt-client=221
bhuikund         84363   0,0  0,9 1865476496  73792   ??  S     9:17     0:04.88 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.117/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=222 --time-ticks-at-unix-epoch=-1771746579597116 --launch-time-ticks=418051798187 --shared-files --metrics-shmem-handle=1752395122,r,7778755332209863126,6315857264277857632,2097152 --field-trial-handle=1718379636,r,5799861745977105066,431013067418218464,262144 --variations-seed-version=20260224-170100.149000-production --trace-process-track-uuid=3190709194335161972 --seatbelt-client=231
bhuikund         84358   0,0  0,7 1865548384  62672   ??  S     9:16     0:06.59 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.117/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=218 --time-ticks-at-unix-epoch=-1771746579597116 --launch-time-ticks=418035933963 --shared-files --metrics-shmem-handle=1752395122,r,8872688278480180389,12961815780893503754,2097152 --field-trial-handle=1718379636,r,5799861745977105066,431013067418218464,262144 --variations-seed-version=20260224-170100.149000-production --trace-process-track-uuid=3190709190586994576 --seatbelt-client=47
root             84273   0,0  0,1 410363200   6272   ??  Ss    9:10     0:00.16 /usr/libexec/nehelper
bhuikund         84156   0,0  0,0 410640112   1824   ??  S     9:06     0:01.22 /Applications/GIGA IDE CE 2024.2.app/Contents/bin/fsnotifier
_netbios         84049   0,0  0,0 410326544   4112   ??  SNs   8:16     0:00.28 /usr/sbin/netbiosd
bhuikund         84021   0,0  0,0 516367920   1568   ??  Ss    8:02     0:09.55 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
bhuikund         83998   0,0  0,1 410381824  10592   ??  S     7:57     0:02.54 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
